postal_code,country,state,area_description,territory_description
00712,USA,PR,Eastern Florida & Puerto Rico,Southeast
00713,USA,PR,Eastern Florida & Puerto Rico,Southeast
00714,USA,PR,Eastern Florida & Puerto Rico,Southeast
00715,USA,PR,Eastern Florida & Puerto Rico,Southeast
00716,USA,PR,Eastern Florida & Puerto Rico,Southeast
00717,USA,PR,Eastern Florida & Puerto Rico,Southeast
00718,USA,PR,Eastern Florida & Puerto Rico,Southeast
00719,USA,PR,Eastern Florida & Puerto Rico,Southeast
00720,USA,PR,Eastern Florida & Puerto Rico,Southeast
00721,USA,PR,Eastern Florida & Puerto Rico,Southeast
00722,USA,PR,Eastern Florida & Puerto Rico,Southeast
00723,USA,PR,Eastern Florida & Puerto Rico,Southeast
00724,USA,PR,Eastern Florida & Puerto Rico,Southeast
00725,USA,PR,Eastern Florida & Puerto Rico,Southeast
00726,USA,PR,Eastern Florida & Puerto Rico,Southeast
00727,USA,PR,Eastern Florida & Puerto Rico,Southeast
00728,USA,PR,Eastern Florida & Puerto Rico,Southeast
00729,USA,PR,Eastern Florida & Puerto Rico,Southeast
00730,USA,PR,Eastern Florida & Puerto Rico,Southeast
00731,USA,PR,Eastern Florida & Puerto Rico,Southeast
00732,USA,PR,Eastern Florida & Puerto Rico,Southeast
00733,USA,PR,Eastern Florida & Puerto Rico,Southeast
00734,USA,PR,Eastern Florida & Puerto Rico,Southeast
00735,USA,PR,Eastern Florida & Puerto Rico,Southeast
00736,USA,PR,Eastern Florida & Puerto Rico,Southeast
00737,USA,PR,Eastern Florida & Puerto Rico,Southeast
00738,USA,PR,Eastern Florida & Puerto Rico,Southeast
00739,USA,PR,Eastern Florida & Puerto Rico,Southeast
00740,USA,PR,Eastern Florida & Puerto Rico,Southeast
00741,USA,PR,Eastern Florida & Puerto Rico,Southeast
00742,USA,PR,Eastern Florida & Puerto Rico,Southeast
00743,USA,PR,Eastern Florida & Puerto Rico,Southeast
00744,USA,PR,Eastern Florida & Puerto Rico,Southeast
00745,USA,PR,Eastern Florida & Puerto Rico,Southeast
00746,USA,PR,Eastern Florida & Puerto Rico,Southeast
00747,USA,PR,Eastern Florida & Puerto Rico,Southeast
00748,USA,PR,Eastern Florida & Puerto Rico,Southeast
00749,USA,PR,Eastern Florida & Puerto Rico,Southeast
00751,USA,PR,Eastern Florida & Puerto Rico,Southeast
00752,USA,PR,Eastern Florida & Puerto Rico,Southeast
00754,USA,PR,Eastern Florida & Puerto Rico,Southeast
00756,USA,PR,Eastern Florida & Puerto Rico,Southeast
00757,USA,PR,Eastern Florida & Puerto Rico,Southeast
00758,USA,PR,Eastern Florida & Puerto Rico,Southeast
00760,USA,PR,Eastern Florida & Puerto Rico,Southeast
00761,USA,PR,Eastern Florida & Puerto Rico,Southeast
00762,USA,PR,Eastern Florida & Puerto Rico,Southeast
00763,USA,PR,Eastern Florida & Puerto Rico,Southeast
00764,USA,PR,Eastern Florida & Puerto Rico,Southeast
00765,USA,PR,Eastern Florida & Puerto Rico,Southeast
00766,USA,PR,Eastern Florida & Puerto Rico,Southeast
00767,USA,PR,Eastern Florida & Puerto Rico,Southeast
00768,USA,PR,Eastern Florida & Puerto Rico,Southeast
00769,USA,PR,Eastern Florida & Puerto Rico,Southeast
00770,USA,PR,Eastern Florida & Puerto Rico,Southeast
00771,USA,PR,Eastern Florida & Puerto Rico,Southeast
00772,USA,PR,Eastern Florida & Puerto Rico,Southeast
00773,USA,PR,Eastern Florida & Puerto Rico,Southeast
00774,USA,PR,Eastern Florida & Puerto Rico,Southeast
00775,USA,PR,Eastern Florida & Puerto Rico,Southeast
00776,USA,PR,Eastern Florida & Puerto Rico,Southeast
